OG	mean_dNdS	median_dNdS
OG_13365	12.893829104477614	0.3328
OG_533	0.9897071115013171	0.1045
OG_15839	0.21891716417910448	0.19174999999999998
OG_18271	3.130593346774193	0.1515
OG_10589	0.13533467954345918	0.1229
OG_14168	0.5933365232660228	0.0666
OG_16732	4.524631014492753	0.4914
OG_7495	6.807701668129939	0.2839
OG_5045	6.114129762949957	0.0923
OG_4331	0.8757536874451274	0.2914
OG_8577	2.5505035730438714	0.4434
OG_6365	0.4002090553856609	0.0639
OG_12107	0.7242724319578578	0.4502
OG_15079	0.08776997366110623	0.0444
OG_6199	1.5492333333333335	1.9998
OG_1397	1.78379811237928	0.2345
OG_5702	3.972182525252525	1.29385
OG_17947	1.4847594982078856	1.1607
OG_16795	1.5460438103599647	0.1854
OG_19323	27.5492	1.6595
OG_11708	0.08040566286215979	0.0771
OG_5327	16.143317288135595	0.4316
OG_17120	0.41913681592039803	0.3579
OG_517	2.40382251984127	0.2603
OG_13089	0.8003758508158508	0.1433
OG_1859	1.5877288410886743	0.1065
OG_5336	12.318697421981003	0.6542
OG_18860	0.3752383333333333	0.443
OG_2198	0.04802221246707638	0.001
OG_8365	2.9022100087796314	0.001
OG_9648	0.19853125548726952	0.2084
OG_9953	0.3510207039337474	0.001
OG_17168	2.827207638279192	0.09265
OG_14084	2.971734723441615	0.001
OG_19951	0.1398	0.1398
OG_7492	0.36118597612958225	0.0835
OG_2909	0.15511220368744513	0.1267
OG_13959	2.1893519754170327	0.2723
OG_14391	10.14788832309043	0.112
OG_9637	0.9168440072365447	0.1862
OG_18732	0.057001604278074866	0.001
OG_14666	13.022897602894618	0.2228
OG_19618	0.5103	0.5103
OG_3558	2.22943007023705	0.0708
OG_756	15.715964367816094	1.2537
OG_17411	3.8023540825285345	0.0806
OG_16292	0.19953707792207792	0.0934
OG_16805	0.00961338893766462	0.001
OG_12459	35.25524619607843	1.49
OG_9457	7.305676662143826	0.001
OG_9943	0.5189122568973316	0.001
OG_19855	0.04355954415954416	0.001
OG_11578	0.5584308165057069	0.001
OG_10956	12.114066666666668	0.001
OG_10457	0.2609924731182796	0.0129
OG_899	1.411587489025461	0.1059
OG_14912	0.38314	0.3834
OG_8469	4.208055750658473	0.3561
OG_12306	3.448720237050044	0.3643
OG_6531	11.827820000000001	0.4827
OG_7798	0.936300482879719	0.1079
OG_17560	0.07900219490781386	0.028
OG_600	0.009875329236172082	0.001
OG_5189	0.5424009324009325	0.2202
OG_16541	1.4535918788410886	0.0842
OG_2150	0.4571551799824407	0.2111
OG_10711	0.06241562774363476	0.0496
OG_8900	1.3078872256365235	0.001
OG_6073	4.942499736611063	0.4574
OG_11865	1.638524978050922	0.27449999999999997
OG_435	0.9824581650570675	0.1315
OG_13199	0.11942406151062868	0.0809
OG_9070	0.1329615384615385	0.0106
OG_6867	0.3538	0.3538
OG_19094	0.30613333333333337	0.307
OG_18961	0.25855000000000006	0.0878
OG_8259	0.4336570237050044	0.0949
OG_8594	1.9446209833187005	0.5405
OG_7445	2.0025021257349613	0.2469
OG_1855	0.7754028533801582	0.001
OG_6197	1.042	1.042
OG_13737	0.2687122914837577	0.2154
OG_615	3.2473670763827918	0.321
OG_964	0.02035798946444249	0.001
OG_6691	0.2248	0.2248
OG_13606	1.5126456540825286	0.0827
OG_16399	3.116507330992098	0.151
OG_15159	0.49973568920105355	0.0969
OG_15647	1.1205411764705884	0.4053
OG_18390	0.4253125792811839	0.44394999999999996
OG_17297	7.862220879120879	0.1997
OG_4164	0.040283011413520635	0.0378
OG_10450	3.9433756804214224	0.2827
OG_9815	1.7983769534679543	0.1091
OG_8056	0.2278467076382792	0.1649
OG_217	15.95396971027217	0.7172499999999999
OG_1119	0.9264730769230767	0.1015
OG_6839	6.31100909090909	0.0541
OG_9977	0.47153380158033364	0.2553
OG_407	0.26971641791044776	0.1696
OG_12844	0.1662649253731343	0.2028
OG_12205	0.054745396419437355	0.001
OG_4017	2.1328822704658528	0.166
OG_17412	0.011882748024582968	0.001
OG_9468	0.12513469735720376	0.1035
OG_6683	0.6980341414141414	0.5035
OG_13107	4.63804926943308	0.1705
OG_2106	2.2829021510096577	0.0916
OG_16807	9.838882572431958	0.1616
OG_4746	8.338436318407961	0.1654
OG_9475	0.031608691834942935	0.001
OG_18362	1.5279272727272726	1.8509
